,Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
0,1503960366,2016-04-12,1,327,346
1,1503960366,2016-04-13,2,384,407
2,1503960366,2016-04-15,1,412,442
3,1503960366,2016-04-16,2,340,367
4,1503960366,2016-04-17,1,700,712
5,1503960366,2016-04-19,1,304,320
6,1503960366,2016-04-20,1,360,377
7,1503960366,2016-04-21,1,325,364
8,1503960366,2016-04-23,1,361,384
9,1503960366,2016-04-24,1,430,449
10,1503960366,2016-04-25,1,277,323
11,1503960366,2016-04-26,1,245,274
12,1503960366,2016-04-28,1,366,393
13,1503960366,2016-04-29,1,341,354
14,1503960366,2016-04-30,1,404,425
15,1503960366,2016-05-01,1,369,396
16,1503960366,2016-05-02,1,277,309
17,1503960366,2016-05-03,1,273,296
18,1503960366,2016-05-05,1,247,264
19,1503960366,2016-05-06,1,334,367
20,1503960366,2016-05-07,1,331,349
21,1503960366,2016-05-08,1,594,611
22,1503960366,2016-05-09,1,338,342
23,1503960366,2016-05-10,1,383,403
24,1503960366,2016-05-11,1,285,306
25,1644430081,2016-04-29,1,119,127
26,1644430081,2016-04-30,1,124,142
27,1644430081,2016-05-02,1,796,961
28,1644430081,2016-05-08,1,137,154
29,1844505072,2016-04-15,1,644,961
30,1844505072,2016-04-30,1,722,961
31,1844505072,2016-05-01,1,590,961
32,1927972279,2016-04-12,3,750,775
33,1927972279,2016-04-13,1,398,422
34,1927972279,2016-04-15,2,475,499
35,1927972279,2016-04-26,1,296,315
36,1927972279,2016-04-28,1,166,178
37,2026352035,2016-04-12,1,503,546
38,2026352035,2016-04-13,1,531,565
39,2026352035,2016-04-14,1,545,568
40,2026352035,2016-04-15,1,523,573
41,2026352035,2016-04-16,1,524,567
42,2026352035,2016-04-17,1,437,498
43,2026352035,2016-04-19,1,498,540
44,2026352035,2016-04-20,1,461,510
45,2026352035,2016-04-21,1,477,514
46,2026352035,2016-04-22,1,520,545
47,2026352035,2016-04-23,1,522,554
48,2026352035,2016-04-24,1,555,591
49,2026352035,2016-04-25,1,506,531
50,2026352035,2016-04-27,1,508,545
51,2026352035,2016-04-28,1,513,545
52,2026352035,2016-04-29,1,490,510
53,2026352035,2016-04-30,1,573,607
54,2026352035,2016-05-01,1,527,546
55,2026352035,2016-05-02,1,511,543
56,2026352035,2016-05-04,1,538,560
57,2026352035,2016-05-05,1,468,485
58,2026352035,2016-05-06,1,524,548
59,2026352035,2016-05-07,1,511,521
60,2026352035,2016-05-08,1,541,568
61,2026352035,2016-05-09,1,531,556
62,2026352035,2016-05-10,1,357,380
63,2026352035,2016-05-11,1,523,553
64,2026352035,2016-05-12,1,456,485
65,2320127002,2016-04-23,1,61,69
66,2347167796,2016-04-13,1,467,531
67,2347167796,2016-04-14,1,445,489
68,2347167796,2016-04-15,1,452,504
69,2347167796,2016-04-17,1,556,602
70,2347167796,2016-04-18,1,500,557
71,2347167796,2016-04-19,1,465,514
72,2347167796,2016-04-21,1,460,484
73,2347167796,2016-04-22,1,405,461
74,2347167796,2016-04-23,1,374,386
75,2347167796,2016-04-24,1,442,459
76,2347167796,2016-04-25,1,433,471
77,2347167796,2016-04-26,1,436,490
78,2347167796,2016-04-27,1,448,499
79,2347167796,2016-04-28,1,408,450
80,2347167796,2016-04-29,1,411,473
81,3977333714,2016-04-12,1,274,469
82,3977333714,2016-04-13,2,295,456
83,3977333714,2016-04-14,1,291,397
84,3977333714,2016-04-15,1,424,556
85,3977333714,2016-04-16,1,283,510
86,3977333714,2016-04-17,1,381,566
87,3977333714,2016-04-18,2,412,522
88,3977333714,2016-04-19,1,219,395
89,3977333714,2016-04-20,2,152,305
90,3977333714,2016-04-21,1,332,512
91,3977333714,2016-04-22,1,355,476
92,3977333714,2016-04-23,1,235,372
93,3977333714,2016-04-24,1,310,526
94,3977333714,2016-04-25,1,262,467
95,3977333714,2016-04-26,1,250,371
96,3977333714,2016-04-27,1,349,540
97,3977333714,2016-04-28,1,261,423
98,3977333714,2016-04-29,1,333,478
99,3977333714,2016-04-30,1,237,382
100,3977333714,2016-05-01,1,383,626
101,3977333714,2016-05-02,1,230,384
102,3977333714,2016-05-03,1,292,500
103,3977333714,2016-05-04,1,213,336
104,3977333714,2016-05-05,1,318,480
105,3977333714,2016-05-06,1,323,512
106,3977333714,2016-05-07,1,237,443
107,3977333714,2016-05-08,2,259,456
108,3977333714,2016-05-10,1,312,452
109,4020332650,2016-04-12,1,501,541
110,4020332650,2016-04-16,1,77,77
111,4020332650,2016-05-03,1,322,332
112,4020332650,2016-05-04,1,478,536
113,4020332650,2016-05-05,1,226,248
114,4020332650,2016-05-06,1,385,408
115,4020332650,2016-05-08,1,364,402
116,4020332650,2016-05-10,1,442,494
117,4319703577,2016-04-14,1,535,557
118,4319703577,2016-04-15,1,465,491
119,4319703577,2016-04-16,1,506,522
120,4319703577,2016-04-18,1,515,551
121,4319703577,2016-04-19,2,461,498
122,4319703577,2016-04-20,1,523,543
123,4319703577,2016-04-21,1,59,65
124,4319703577,2016-04-22,1,533,550
125,4319703577,2016-04-23,1,692,722
126,4319703577,2016-04-24,1,467,501
127,4319703577,2016-04-25,1,488,506
128,4319703577,2016-04-26,1,505,516
129,4319703577,2016-04-27,1,286,307
130,4319703577,2016-04-28,1,497,522
131,4319703577,2016-04-29,1,523,546
132,4319703577,2016-04-30,1,490,516
133,4319703577,2016-05-01,1,484,500
134,4319703577,2016-05-02,1,478,506
135,4319703577,2016-05-03,1,474,512
136,4319703577,2016-05-06,1,450,491
137,4319703577,2016-05-07,1,507,530
138,4319703577,2016-05-08,1,602,638
139,4319703577,2016-05-09,1,535,565
140,4319703577,2016-05-10,1,487,517
141,4319703577,2016-05-11,1,529,558
142,4319703577,2016-05-12,1,302,321
143,4388161847,2016-04-15,1,499,526
144,4388161847,2016-04-16,2,426,448
145,4388161847,2016-04-17,2,619,641
146,4388161847,2016-04-18,1,99,104
147,4388161847,2016-04-19,1,329,338
148,4388161847,2016-04-20,1,421,451
149,4388161847,2016-04-21,1,442,458
150,4388161847,2016-04-22,1,82,85
151,4388161847,2016-04-23,1,478,501
152,4388161847,2016-04-24,3,552,595
153,4388161847,2016-04-26,1,319,346
154,4388161847,2016-04-27,1,439,500
155,4388161847,2016-04-28,1,428,458
156,4388161847,2016-04-30,2,409,430
157,4388161847,2016-05-01,1,547,597
158,4388161847,2016-05-02,2,368,376
159,4388161847,2016-05-04,1,390,414
160,4388161847,2016-05-05,1,471,495
161,4388161847,2016-05-05,1,471,495
162,4388161847,2016-05-07,1,472,496
163,4388161847,2016-05-08,2,529,541
164,4388161847,2016-05-09,1,62,65
165,4388161847,2016-05-10,1,354,375
166,4388161847,2016-05-11,1,469,494
167,4445114986,2016-04-12,2,429,457
168,4445114986,2016-04-13,2,370,406
169,4445114986,2016-04-14,1,441,492
170,4445114986,2016-04-15,2,337,379
171,4445114986,2016-04-16,1,462,499
172,4445114986,2016-04-17,1,98,107
173,4445114986,2016-04-19,2,388,424
174,4445114986,2016-04-20,1,439,462
175,4445114986,2016-04-21,1,436,469
176,4445114986,2016-04-22,1,388,417
177,4445114986,2016-04-25,1,328,345
178,4445114986,2016-04-26,2,353,391
179,4445114986,2016-04-27,1,332,374
180,4445114986,2016-04-28,1,419,442
181,4445114986,2016-04-29,1,106,108
182,4445114986,2016-04-30,1,322,353
183,4445114986,2016-05-01,2,439,459
184,4445114986,2016-05-02,1,502,542
185,4445114986,2016-05-03,2,417,450
186,4445114986,2016-05-04,2,337,363
187,4445114986,2016-05-05,2,462,513
188,4445114986,2016-05-06,2,374,402
189,4445114986,2016-05-07,2,401,436
190,4445114986,2016-05-08,1,361,391
191,4445114986,2016-05-09,1,457,533
192,4445114986,2016-05-10,1,405,426
193,4445114986,2016-05-11,1,499,530
194,4445114986,2016-05-12,1,483,501
195,4558609924,2016-04-21,1,126,137
196,4558609924,2016-04-26,1,103,121
197,4558609924,2016-04-29,1,171,179
198,4558609924,2016-05-01,1,115,129
199,4558609924,2016-05-08,1,123,134
200,4702921684,2016-04-12,1,425,439
201,4702921684,2016-04-13,2,400,430
202,4702921684,2016-04-14,1,384,415
203,4702921684,2016-04-15,1,253,257
204,4702921684,2016-04-16,2,382,406
205,4702921684,2016-04-17,1,591,612
206,4702921684,2016-04-18,1,293,312
207,4702921684,2016-04-19,1,457,487
208,4702921684,2016-04-20,1,454,468
209,4702921684,2016-04-21,1,425,434
210,4702921684,2016-04-23,1,465,475
211,4702921684,2016-04-24,1,480,506
212,4702921684,2016-04-25,1,370,380
213,4702921684,2016-04-26,1,421,429
214,4702921684,2016-04-27,1,432,449
215,4702921684,2016-04-28,1,442,461
216,4702921684,2016-04-29,1,433,447
217,4702921684,2016-04-30,1,479,501
218,4702921684,2016-05-03,1,327,373
219,4702921684,2016-05-04,1,412,434
220,4702921684,2016-05-05,1,414,428
221,4702921684,2016-05-06,1,404,449
222,4702921684,2016-05-07,1,520,543
223,4702921684,2016-05-07,1,520,543
224,4702921684,2016-05-09,1,435,458
225,4702921684,2016-05-10,1,416,431
226,4702921684,2016-05-11,1,354,366
227,4702921684,2016-05-12,1,404,442
228,5553957443,2016-04-12,1,441,464
229,5553957443,2016-04-13,2,455,488
230,5553957443,2016-04-14,1,357,418
231,5553957443,2016-04-15,1,377,409
232,5553957443,2016-04-16,2,651,686
233,5553957443,2016-04-17,1,350,402
234,5553957443,2016-04-18,2,520,541
235,5553957443,2016-04-19,1,357,410
236,5553957443,2016-04-20,1,658,678
237,5553957443,2016-04-21,1,399,431
238,5553957443,2016-04-22,1,322,353
239,5553957443,2016-04-23,2,631,725
240,5553957443,2016-04-24,2,553,640
241,5553957443,2016-04-25,1,433,468
242,5553957443,2016-04-26,1,412,453
243,5553957443,2016-04-27,1,347,391
244,5553957443,2016-04-28,1,421,457
245,5553957443,2016-04-29,1,450,495
246,5553957443,2016-04-30,2,775,843
247,5553957443,2016-05-01,2,622,686
248,5553957443,2016-05-02,1,409,471
249,5553957443,2016-05-03,1,380,429
250,5553957443,2016-05-04,1,447,470
251,5553957443,2016-05-05,1,419,464
252,5553957443,2016-05-06,1,400,434
253,5553957443,2016-05-07,1,442,470
254,5553957443,2016-05-08,1,568,608
255,5553957443,2016-05-09,1,453,494
256,5553957443,2016-05-10,1,418,443
257,5553957443,2016-05-11,1,463,486
258,5553957443,2016-05-12,1,438,475
259,5577150313,2016-04-12,1,419,438
260,5577150313,2016-04-13,1,432,458
261,5577150313,2016-04-14,1,477,497
262,5577150313,2016-04-15,1,392,413
263,5577150313,2016-04-16,1,406,445
264,5577150313,2016-04-17,1,549,583
265,5577150313,2016-04-18,1,527,553
266,5577150313,2016-04-19,1,449,465
267,5577150313,2016-04-20,1,447,480
268,5577150313,2016-04-21,1,414,437
269,5577150313,2016-04-22,1,338,366
270,5577150313,2016-04-23,1,384,402
271,5577150313,2016-04-24,1,543,615
272,5577150313,2016-04-25,1,421,461
273,5577150313,2016-04-26,1,354,377
274,5577150313,2016-04-27,1,424,452
275,5577150313,2016-04-28,1,361,372
276,5577150313,2016-04-29,1,459,485
277,5577150313,2016-04-30,1,412,433
278,5577150313,2016-05-01,1,379,398
279,5577150313,2016-05-02,2,525,553
280,5577150313,2016-05-03,1,508,543
281,5577150313,2016-05-04,1,603,634
282,5577150313,2016-05-05,1,74,78
283,5577150313,2016-05-10,1,504,562
284,5577150313,2016-05-11,1,431,476
285,6117666160,2016-04-16,1,380,398
286,6117666160,2016-04-17,2,336,350
287,6117666160,2016-04-18,2,493,510
288,6117666160,2016-04-19,1,465,492
289,6117666160,2016-04-20,1,474,502
290,6117666160,2016-04-21,1,508,550
291,6117666160,2016-04-22,1,480,546
292,6117666160,2016-04-23,1,492,539
293,6117666160,2016-04-24,1,353,367
294,6117666160,2016-04-27,1,542,557
295,6117666160,2016-04-28,1,393,416
296,6117666160,2016-04-29,1,600,636
297,6117666160,2016-05-01,1,507,575
298,6117666160,2016-05-05,1,392,415
299,6117666160,2016-05-06,2,658,698
300,6117666160,2016-05-07,2,498,507
301,6117666160,2016-05-08,1,555,603
302,6117666160,2016-05-09,1,492,522
303,6775888955,2016-04-13,1,235,260
304,6775888955,2016-04-14,1,423,441
305,6775888955,2016-04-15,1,391,406
306,6962181067,2016-04-12,1,366,387
307,6962181067,2016-04-13,3,630,679
308,6962181067,2016-04-14,2,508,535
309,6962181067,2016-04-15,1,370,386
310,6962181067,2016-04-16,1,357,366
311,6962181067,2016-04-17,1,427,446
312,6962181067,2016-04-18,1,442,458
313,6962181067,2016-04-19,1,476,535
314,6962181067,2016-04-20,1,418,424
315,6962181067,2016-04-21,1,451,457
316,6962181067,2016-04-22,1,425,435
317,6962181067,2016-04-23,1,528,546
318,6962181067,2016-04-24,1,511,514
319,6962181067,2016-04-25,1,400,415
320,6962181067,2016-04-26,1,441,446
321,6962181067,2016-04-27,1,455,467
322,6962181067,2016-04-28,1,440,453
323,6962181067,2016-04-29,1,433,447
324,6962181067,2016-04-30,1,422,424
325,6962181067,2016-05-01,1,411,426
326,6962181067,2016-05-02,1,466,482
327,6962181067,2016-05-03,1,394,418
328,6962181067,2016-05-04,1,442,455
329,6962181067,2016-05-05,1,467,491
330,6962181067,2016-05-06,1,443,462
331,6962181067,2016-05-07,1,298,334
332,6962181067,2016-05-08,1,541,569
333,6962181067,2016-05-09,1,489,497
334,6962181067,2016-05-10,1,469,481
335,6962181067,2016-05-11,1,452,480
336,6962181067,2016-05-12,1,516,535
337,7007744171,2016-04-16,1,79,82
338,7007744171,2016-05-01,1,58,61
339,7086361926,2016-04-12,1,514,525
340,7086361926,2016-04-13,1,451,465
341,7086361926,2016-04-14,1,472,476
342,7086361926,2016-04-15,1,377,386
343,7086361926,2016-04-19,1,472,483
344,7086361926,2016-04-20,1,492,502
345,7086361926,2016-04-21,1,390,411
346,7086361926,2016-04-22,1,428,448
347,7086361926,2016-04-24,1,681,704
348,7086361926,2016-04-25,1,446,447
349,7086361926,2016-04-26,1,485,500
350,7086361926,2016-04-27,1,469,479
351,7086361926,2016-04-28,1,354,367
352,7086361926,2016-04-30,1,485,489
353,7086361926,2016-05-01,1,388,407
354,7086361926,2016-05-02,1,440,459
355,7086361926,2016-05-03,1,456,461
356,7086361926,2016-05-04,1,420,436
357,7086361926,2016-05-06,1,322,333
358,7086361926,2016-05-07,1,530,548
359,7086361926,2016-05-08,1,481,510
360,7086361926,2016-05-09,1,427,438
361,7086361926,2016-05-11,1,451,463
362,7086361926,2016-05-12,1,444,457
363,8053475328,2016-04-20,1,486,493
364,8053475328,2016-04-23,1,331,337
365,8053475328,2016-05-07,1,74,75
366,8378563200,2016-04-12,1,338,356
367,8378563200,2016-04-13,2,447,487
368,8378563200,2016-04-14,1,424,455
369,8378563200,2016-04-15,1,513,533
370,8378563200,2016-04-16,2,611,689
371,8378563200,2016-04-17,2,525,591
372,8378563200,2016-04-18,1,398,451
373,8378563200,2016-04-19,1,387,421
374,8378563200,2016-04-20,1,381,409
375,8378563200,2016-04-21,1,396,417
376,8378563200,2016-04-22,1,441,469
377,8378563200,2016-04-23,1,565,591
378,8378563200,2016-04-24,1,458,492
379,8378563200,2016-04-25,1,388,402
380,8378563200,2016-04-25,1,388,402
381,8378563200,2016-04-26,1,550,584
382,8378563200,2016-04-27,1,531,600
383,8378563200,2016-04-28,1,506,556
384,8378563200,2016-04-29,1,527,562
385,8378563200,2016-04-30,1,468,555
386,8378563200,2016-05-01,1,475,539
387,8378563200,2016-05-02,1,351,385
388,8378563200,2016-05-03,1,405,429
389,8378563200,2016-05-04,1,441,477
390,8378563200,2016-05-05,1,381,417
391,8378563200,2016-05-06,1,323,355
392,8378563200,2016-05-07,2,459,513
393,8378563200,2016-05-08,1,545,606
394,8378563200,2016-05-09,1,359,399
395,8378563200,2016-05-10,1,342,391
396,8378563200,2016-05-11,1,368,387
397,8378563200,2016-05-12,1,496,546
398,8792009665,2016-04-12,1,458,493
399,8792009665,2016-04-13,1,531,552
400,8792009665,2016-04-14,1,486,503
401,8792009665,2016-04-15,1,363,377
402,8792009665,2016-04-20,1,528,547
403,8792009665,2016-04-22,1,391,407
404,8792009665,2016-04-23,1,339,360
405,8792009665,2016-04-27,1,423,428
406,8792009665,2016-04-28,1,402,416
407,8792009665,2016-04-29,1,398,406
408,8792009665,2016-04-30,1,343,360
409,8792009665,2016-05-01,1,503,527
410,8792009665,2016-05-02,1,415,423
411,8792009665,2016-05-03,1,516,545
412,8792009665,2016-05-04,1,439,463
